id,company,color,wheel-base-style-circum-diam,length,nbSeats,num-of-cylinders,horsepower,average-mileage,price
1,Pontiac,,,153.631977064,msparks0@nsw.gov.au,twelve,162,,19534
2,MINI,color-blac,117.73,159.984453692,ikluger1@t-online.de,three,76,,35105
3,Scion,color-red,117.33,207.67555156,afinn2@intel.com,five5,83,,42705
4,Geo,color-blac,115.9,142.10695806,mscala3@va.gov,twelve,100,,17601
5,Lexus,,,166.500506944,vhinckley4@desdev.cn,six6,93,,39170
6,Porsche,color-yellow,98.16,141.650650761,rbroadbere5@baidu.com,BuG,239,,43800
7,Mazda,color-blac,109.49,165.591414945,bspybey6@github.com,twelve,64,,
8,Audi,color-yellow,106.01,200.169383428,cdabels7@google.it,[four4,170,,44116
9,Plymouth,color-blue,109.02,182.062299734,zjoselevitz8@foxnews.com,five5,53,,25430
10,Maserati,color-blac,93.33,145.887072356,jbrennan9@yahoo.com,five5,101,,10759
11,Honda,color-yellow,111.59,198.432823547,wkinworthya@angelfire.com,eight,113,,22929
12,Chrysler,color-blac,118.68,140.162757316,jbaxillb@free.fr,five5,197,,41193
13,Acura,color-blac,110.13,191.300594464,dwearnc@freewebs.com,BuG,90,,22614
14,Kia,color-red,114.29,189.552404789,cgreesond@howstuffworks.com,[four4,67,9795.37,9551
15,Audi,color-blac,93.18,148.916026888,cmanharee@bluehost.com,twelve,69,,17878
16,Jaguar,color-red,103.55,181.36595789,icornehlf@blogspot.com,five5,146,,21236
17,Chevrolet,color-yellow,100.96,198.198580824,gbrettelg@mediafire.com,eight,227,,27151
18,Aston Martin,color-blac,102.67,175.079895335,estubbeleyh@wikispaces.com,two,220,3970.35,35597
19,Kia,color-blac,109.76,189.366267462,sfernandezi@delicious.com,[four4,113,,40769
20,Toyota,color-red,119.02,168.205673264,mbusenj@techcrunch.com,[four4,212,,23350
21,Chevrolet,color-blue,89.98,140.624084754,ljurriesk@netlog.com,twelve,68,,39647
22,Mazda,color-blac,89.75,143.875088504,msindelll@infoseek.co.jp,two,200,,34502
23,Buick,color-blue,105.2,196.449926799,baldwickm@biglobe.ne.jp,eight,172,,19041
24,Saab,color-blue,110.0,207.521412304,jbenzn@ed.gov,five5,56,,31928
25,GMC,color-yellow,107.57,,nsmorthwaiteo@over-blog.com,three,152,,40672
26,Ford,color-red,108.58,189.617882165,nebsworthp@xrea.com,[four4,120,,27327
27,Volvo,color-blue,116.34,173.107705844,lwindmillq@indiatimes.com,three,213,,39442
28,Lincoln,color-blue,95.75,194.003388705,jmachenr@independent.co.uk,three,133,,13280
29,Spyker,color-yellow,115.39,141.455420104,zevendens@google.cn,BuG,86,,25005
30,Chrysler,color-blac,93.13,143.494359179,hpavyert@google.com.hk,six6,108,,39800
31,Toyota,color-red,89.29,176.469414054,jhaddyu@apple.com,six6,119,,13339
32,Kia,color-yellow,114.66,188.484613356,mheinickev@tamu.edu,BuG,231,,39827
33,Chevrolet,color-yellow,111.52,190.484182064,ulambornew@dell.com,five5,126,,6599
34,Kia,color-yellow,98.69,151.56660154,cduthiex@so-net.ne.jp,two,146,,37768
35,Ford,color-yellow,113.96,148.748382698,cphilipseny@unblog.fr,BuG,207,,41272
36,Ford,color-blac,96.5,141.981582554,ekinnenz@gmpg.org,three,60,4941.85,36111
37,BMW,color-blue,93.72,204.688054573,egounard10@a8.net,eight,226,,8199
38,Volkswagen,color-red,101.79,164.200052794,jcollacombe11@purevolume.com,five5,113,,15885
39,Maybach,color-blue,118.37,200.480112636,agorrissen12@wix.com,eight,234,6056.71,5094
40,Suzuki,color-red,107.52,194.260829745,ejeffels13@drupal.org,two,211,,8658
41,Subaru,color-yellow,89.94,190.606582927,cbracher14@google.ru,[four4,120,1506.97,5586
42,Chevrolet,color-blue,88.84,146.252445949,rcounter15@walmart.com,two,109,9066.39,28632
43,Lincoln,color-blac,113.4,202.463222723,akinvan16@cmu.edu,twelve,151,,23515
44,Chrysler,color-yellow,102.69,206.616905116,rfritchly17@w3.org,twelve,56,,8031
45,Buick,color-yellow,94.35,174.218376691,plewzey18@mit.edu,six6,66,,14936
46,Bentley,color-red,114.78,200.876614948,memsley19@usda.gov,three,229,,36329
47,Mazda,color-red,112.12,156.470535736,jchatainier1a@weebly.com,five5,196,7784.48,34244
48,Dodge,color-blac,97.14,156.158740576,cgillott1b@uol.com.br,two,219,,15352
49,Chevrolet,color-blac,110.25,185.105129584,spordal1c@shutterfly.com,twelve,59,,33330
50,Porsche,color-red,107.25,158.500191299,fandrich1d@hubpages.com,BuG,80,8282.52,16685
51,Mercedes-Benz,color-blue,94.09,198.164602707,esammut1e@pinterest.com,[four4,65,,14578
52,Porsche,color-blue,114.74,152.648725384,sgrabert1f@nba.com,BuG,199,,38515
53,Volkswagen,color-blac,91.4,176.698394441,rrenbold1g@themeforest.net,five5,208,,21946
54,Volkswagen,color-blac,118.58,164.947098809,kfarncombe1h@youtu.be,twelve,200,,10283
55,Toyota,color-blac,113.13,168.291380086,jspanton1i@google.com.au,six6,216,,37735
56,Lexus,color-blue,107.05,203.930258625,gcollin1j@cnet.com,twelve,50,,17946
57,Maserati,color-red,115.9,174.536858112,hallden1k@vimeo.com,three,230,,30761
58,Mercedes-Benz,color-red,96.23,163.114418762,ftrazzi1l@ox.ac.uk,six6,214,,11607
59,Toyota,color-blac,96.99,173.632911376,bantonelli1m@cbc.ca,five5,213,,29106
60,BMW,color-blac,90.62,150.974033446,tmcpake1n@usnews.com,five5,110,,14320
61,MINI,color-blue,96.71,207.070762447,aspray1o@tumblr.com,eight,157,,42123
62,GMC,color-blac,96.08,177.624080333,jsonghurst1p@arstechnica.com,twelve,218,,34208
63,Lamborghini,color-blac,106.8,206.503641241,clarge1q@people.com.cn,BuG,144,,25237
64,GMC,color-blac,115.03,193.269662246,maudas1r@stanford.edu,BuG,164,,7467
65,GMC,color-blac,114.1,155.350910924,abompass1s@pbs.org,five5,171,,33942
66,Mitsubishi,color-blue,108.14,146.345788256,edorwood1t@unicef.org,five5,165,8169.9,23598
67,Volkswagen,color-blac,101.79,140.751582228,hbroadway1u@blogspot.com,two,162,,16903
68,Ford,color-blac,95.98,,mferrelli1v@pbs.org,three,51,,40955
