id;company;color;wheel_base;length;owner_email;nb_cylinders;horsepower;price
1;Pontiac;;;153.6;msparks0@nsw.gov.au;12.0;162;19534.0
2;MINI;black;117.73;160.0;ikluger1@t-online.de;3.0;76;35105.0
3;Scion;red;117.33;207.7;afinn2@intel.com;5.0;83;42705.0
4;Geo;black;115.9;142.1;mscala3@va.gov;12.0;100;17601.0
5;Lexus;;;166.5;vhinckley4@desdev.cn;6.0;93;39170.0
6;Porsche;yellow;98.16;141.7;rbroadbere5@baidu.com;;239;43800.0
7;Mazda;black;109.49;165.6;bspybey6@github.com;12.0;64;
8;Audi;yellow;106.01;200.2;cdabels7@google.it;4.0;170;44116.0
9;Plymouth;blue;109.02;182.1;zjoselevitz8@foxnews.com;5.0;53;25430.0
10;Maserati;black;93.33;145.9;jbrennan9@yahoo.com;5.0;101;10759.0
11;Honda;yellow;111.59;198.4;wkinworthya@angelfire.com;8.0;113;22929.0
12;Chrysler;black;118.68;140.2;jbaxillb@free.fr;5.0;197;41193.0
13;Acura;black;110.13;191.3;dwearnc@freewebs.com;;90;22614.0
14;Kia;red;114.29;189.6;cgreesond@howstuffworks.com;4.0;67;9551.0
15;Audi;black;93.18;148.9;cmanharee@bluehost.com;12.0;69;17878.0
16;Jaguar;red;103.55;181.4;icornehlf@blogspot.com;5.0;146;21236.0
17;Chevrolet;yellow;100.96;198.2;gbrettelg@mediafire.com;8.0;227;27151.0
18;Aston Martin;black;102.67;175.1;estubbeleyh@wikispaces.com;2.0;220;35597.0
19;Kia;black;109.76;189.4;sfernandezi@delicious.com;4.0;113;40769.0
20;Toyota;red;119.02;168.2;mbusenj@techcrunch.com;4.0;212;23350.0
21;Chevrolet;blue;89.98;140.6;ljurriesk@netlog.com;12.0;68;39647.0
22;Mazda;black;89.75;143.9;msindelll@infoseek.co.jp;2.0;200;34502.0
23;Buick;blue;105.2;196.4;baldwickm@biglobe.ne.jp;8.0;172;19041.0
24;Saab;blue;110.0;207.5;jbenzn@ed.gov;5.0;56;31928.0
25;GMC;yellow;107.57;;nsmorthwaiteo@over-blog.com;3.0;152;40672.0
26;Ford;red;108.58;189.6;nebsworthp@xrea.com;4.0;120;27327.0
27;Volvo;blue;116.34;173.1;lwindmillq@indiatimes.com;3.0;213;39442.0
28;Lincoln;blue;95.75;194.0;jmachenr@independent.co.uk;3.0;133;13280.0
29;Spyker;yellow;115.39;141.5;zevendens@google.cn;;86;25005.0
30;Chrysler;black;93.13;143.5;hpavyert@google.com.hk;6.0;108;39800.0
31;Toyota;red;89.29;176.5;jhaddyu@apple.com;6.0;119;13339.0
32;Kia;yellow;114.66;188.5;mheinickev@tamu.edu;;231;39827.0
33;Chevrolet;yellow;111.52;190.5;ulambornew@dell.com;5.0;126;6599.0
34;Kia;yellow;98.69;151.6;cduthiex@so-net.ne.jp;2.0;146;37768.0
35;Ford;yellow;113.96;148.7;cphilipseny@unblog.fr;;207;41272.0
36;Ford;black;96.5;142.0;ekinnenz@gmpg.org;3.0;60;36111.0
37;BMW;blue;93.72;204.7;egounard10@a8.net;8.0;226;8199.0
38;Volkswagen;red;101.79;164.2;jcollacombe11@purevolume.com;5.0;113;15885.0
39;Maybach;blue;118.37;200.5;agorrissen12@wix.com;8.0;234;5094.0
40;Suzuki;red;107.52;194.3;ejeffels13@drupal.org;2.0;211;8658.0
41;Subaru;yellow;89.94;190.6;cbracher14@google.ru;4.0;120;5586.0
42;Chevrolet;blue;88.84;146.3;rcounter15@walmart.com;2.0;109;28632.0
43;Lincoln;black;113.4;202.5;akinvan16@cmu.edu;12.0;151;23515.0
44;Chrysler;yellow;102.69;206.6;rfritchly17@w3.org;12.0;56;8031.0
45;Buick;yellow;94.35;174.2;plewzey18@mit.edu;6.0;66;14936.0
46;Bentley;red;114.78;200.9;memsley19@usda.gov;3.0;229;36329.0
47;Mazda;red;112.12;156.5;jchatainier1a@weebly.com;5.0;196;34244.0
48;Dodge;black;97.14;156.2;cgillott1b@uol.com.br;2.0;219;15352.0
49;Chevrolet;black;110.25;185.1;spordal1c@shutterfly.com;12.0;59;33330.0
50;Porsche;red;107.25;158.5;fandrich1d@hubpages.com;;80;16685.0
51;Mercedes-Benz;blue;94.09;198.2;esammut1e@pinterest.com;4.0;65;14578.0
52;Porsche;blue;114.74;152.6;sgrabert1f@nba.com;;199;38515.0
53;Volkswagen;black;91.4;176.7;rrenbold1g@themeforest.net;5.0;208;21946.0
54;Volkswagen;black;118.58;164.9;kfarncombe1h@youtu.be;12.0;200;10283.0
55;Toyota;black;113.13;168.3;jspanton1i@google.com.au;6.0;216;37735.0
56;Lexus;blue;107.05;203.9;gcollin1j@cnet.com;12.0;50;17946.0
57;Maserati;red;115.9;174.5;hallden1k@vimeo.com;3.0;230;30761.0
58;Mercedes-Benz;red;96.23;163.1;ftrazzi1l@ox.ac.uk;6.0;214;11607.0
59;Toyota;black;96.99;173.6;bantonelli1m@cbc.ca;5.0;213;29106.0
60;BMW;black;90.62;151.0;tmcpake1n@usnews.com;5.0;110;14320.0
61;MINI;blue;96.71;207.1;aspray1o@tumblr.com;8.0;157;42123.0
62;GMC;black;96.08;177.6;jsonghurst1p@arstechnica.com;12.0;218;34208.0
63;Lamborghini;black;106.8;206.5;clarge1q@people.com.cn;;144;25237.0
64;GMC;black;115.03;193.3;maudas1r@stanford.edu;;164;7467.0
65;GMC;black;114.1;155.4;abompass1s@pbs.org;5.0;171;33942.0
66;Mitsubishi;blue;108.14;146.3;edorwood1t@unicef.org;5.0;165;23598.0
67;Volkswagen;black;101.79;140.8;hbroadway1u@blogspot.com;2.0;162;16903.0
68;Ford;black;95.98;;mferrelli1v@pbs.org;3.0;51;40955.0
69;Mitsubishi;blue;95.84;176.1;mupfold1w@whitehouse.gov;8.0;187;19559.0
70;Audi;red;111.2;157.2;dcarah1x@rediff.com;;242;16864.0
71;Pontiac;red;110.48;190.2;gsuche1y@google.nl;;76;17634.0
72;Ford;yellow;108.63;173.2;edriffe1z@army.mil;12.0;156;36132.0
73;Rolls-Royce;yellow;107.84;150.9;mbricklebank20@php.net;;187;10933.0
